                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.446,                 1.6856,                 1.4048,                0.91218,                0.88077,                0.90462,                0.55306,                 1.2639,                0.75755,                  1.059,               0.070124,              0.0033195,              0.0033195
                      1,                 1.2278,                0.80056,                 1.1837,                0.93513,                0.89567,                0.91862,                0.58869,                  1.218,                0.77693,                 1.0591,               0.039861,              0.0063894,              0.0063894
                      2,                 1.2384,                0.83338,                 1.1738,                0.90515,                0.86537,                0.89488,                0.50036,                 1.4069,                 1.0218,                 1.1469,              0.0093336,              0.0091953,              0.0091953
                      3,                 1.2502,                0.83847,                 1.1948,                0.89499,                0.86566,                0.89606,                0.51699,                 1.3961,                0.85994,                 1.1686,               0.008812,               0.008812,               0.008812
                      4,                 1.2426,                0.81633,                 1.1976,                0.93636,                0.88945,                0.91485,                0.57295,                 1.2517,                0.75243,                 1.1208,               0.008812,               0.008812,               0.008812
                      5,                 1.2114,                0.78869,                 1.1855,                0.92955,                0.87521,                0.90014,                0.50216,                 1.4739,                0.84674,                 1.2118,               0.008416,               0.008416,               0.008416
                      6,                 1.2011,                0.75022,                 1.1627,                0.95057,                0.90428,                0.92541,                0.53782,                 1.4036,                0.72237,                 1.1639,                0.00802,                0.00802,                0.00802
                      7,                 1.1569,                0.69763,                  1.155,                0.93442,                0.90428,                0.92769,                0.51949,                 1.4759,                0.75509,                 1.1763,               0.007624,               0.007624,               0.007624
                      8,                  1.139,                0.67188,                 1.1572,                0.97564,                0.90787,                0.94199,                0.60073,                 1.2013,                0.63106,                 1.0873,               0.007228,               0.007228,               0.007228
                      9,                 1.1059,                0.64727,                 1.1391,                0.94865,                0.90092,                0.92763,                0.49717,                 1.5568,                 0.7151,                 1.2232,               0.006832,               0.006832,               0.006832
                     10,                 1.0844,                0.62108,                 1.1241,                0.95828,                0.92567,                0.95419,                0.64703,                 1.1099,                0.56701,                  1.055,               0.006436,               0.006436,               0.006436
                     11,                  1.077,                0.61555,                 1.1218,                0.97675,                0.91705,                0.94329,                0.64288,                   1.11,                0.56746,                 1.0545,                0.00604,                0.00604,                0.00604
                     12,                 1.0363,                0.57992,                 1.1034,                0.93108,                0.91875,                 0.9432,                0.64764,                  1.065,                0.58075,                 1.0328,               0.005644,               0.005644,               0.005644
                     13,                 1.0142,                0.55611,                 1.0943,                0.96556,                0.92107,                0.95074,                0.60912,                 1.2234,                0.58218,                 1.0636,               0.005248,               0.005248,               0.005248
                     14,                 1.0055,                0.55317,                 1.0829,                0.97347,                0.92422,                0.96073,                0.65813,                 1.0622,                0.51534,                 1.0219,               0.004852,               0.004852,               0.004852
                     15,                0.93017,                0.46325,                 1.0325,                0.96912,                0.92228,                 0.9578,                 0.6355,                 1.1609,                0.54022,                 1.0564,               0.004456,               0.004456,               0.004456
                     16,                0.91767,                0.45557,                 1.0346,                0.97119,                0.93412,                0.95763,                0.65825,                 1.0846,                0.52621,                 1.0506,                0.00406,                0.00406,                0.00406
                     17,                0.87528,                0.43895,                 1.0164,                0.97196,                0.92359,                0.94844,                0.65135,                 1.0686,                 0.5143,                 1.0343,               0.003664,               0.003664,               0.003664
                     18,                0.86121,                0.42438,                 1.0078,                0.97908,                0.92191,                0.95363,                0.65097,                 1.1034,                0.53254,                 1.0507,               0.003268,               0.003268,               0.003268
                     19,                0.82632,                0.40391,                0.99232,                0.98426,                0.93451,                0.95842,                0.66058,                 1.0763,                0.48495,                 1.0315,               0.002872,               0.002872,               0.002872
                     20,                0.81716,                0.39776,                0.99229,                0.97789,                0.92837,                0.95795,                 0.6675,                 1.0664,                0.48634,                 1.0257,               0.002476,               0.002476,               0.002476
                     21,                0.78488,                0.37609,                 0.9753,                0.97506,                0.94291,                0.96917,                0.70234,                0.98746,                0.44569,                0.99826,                0.00208,                0.00208,                0.00208
                     22,                0.75834,                0.36252,                0.96119,                0.98855,                0.93199,                0.96544,                0.69456,                 1.0049,                0.45932,                 1.0033,               0.001684,               0.001684,               0.001684
                     23,                0.74028,                 0.3472,                0.95739,                0.98037,                0.94123,                0.96806,                0.65929,                 1.0947,                0.45986,                 1.0324,               0.001288,               0.001288,               0.001288
                     24,                0.72137,                0.33743,                0.94932,                0.98477,                0.92611,                0.97031,                0.71917,                0.93215,                0.42871,                 0.9719,               0.000892,               0.000892,               0.000892
